,id,full_name,first_name,last_name,is_active
1791,201950,Jrue Holiday,Jrue,Holiday,True
1792,203200,Justin Holiday,Justin,Holiday,True
1793,77040,Brad Holland,Brad,Holland,False
1794,77041,Joe Holland,Joe,Holland,False
1795,204066,John Holland,John,Holland,False
1796,77042,Wilbur Holland,Wilbur,Holland,False
1797,77043,Lionel Hollins,Lionel,Hollins,False
1798,200797,Ryan Hollins,Ryan,Hollins,False
1799,77044,Essie Hollis,Essie,Hollis,False
1800,1626178,Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,True
1801,1626158,Richaun Holmes,Richaun,Holmes,True
1802,77045,Jim Holstein,Jim,Holstein,False
1803,77046,Alvin Holt,Alvin,Holt,False
1804,77047,Michael Holton,Michael,Holton,False
